"period","N","V"
"1482-1549",1,1
"1482-1549",2,2
"1482-1549",3,2
"1482-1549",4,3
"1482-1549",5,4
"1482-1549",6,4
"1482-1549",7,4
"1482-1549",8,5
"1482-1549",9,5
"1482-1549",10,6
"1482-1549",11,7
"1482-1549",12,8
"1482-1549",13,9
"1482-1549",14,9
"1482-1549",15,10
"1482-1549",16,11
"1482-1549",17,11
"1482-1549",18,12
"1482-1549",19,13
"1482-1549",20,14
"1482-1549",21,15
"1482-1549",22,16
"1482-1549",23,17
"1482-1549",24,18
"1482-1549",25,19
"1482-1549",26,20
"1482-1549",27,20
"1482-1549",28,21
"1482-1549",29,22
"1482-1549",30,23
"1482-1549",31,24
"1482-1549",32,24
"1482-1549",33,24
"1482-1549",34,24
"1482-1549",35,25
"1482-1549",36,25
"1482-1549",37,26
"1482-1549",38,27
"1482-1549",39,28
"1482-1549",40,29
"1482-1549",41,29
"1482-1549",42,30
"1482-1549",43,30
"1482-1549",44,30
"1482-1549",45,30
"1482-1549",46,31
"1482-1549",47,31
"1482-1549",48,32
"1482-1549",49,32
"1482-1549",50,32
"1482-1549",51,32
"1482-1549",52,32
"1482-1549",53,32
"1482-1549",54,32
"1482-1549",55,33
"1482-1549",56,33
"1482-1549",57,33
"1550-1649",1,1
"1550-1649",2,2
"1550-1649",3,2
"1550-1649",4,2
"1550-1649",5,2
"1550-1649",6,2
"1550-1649",7,3
"1550-1649",8,4
"1550-1649",9,5
"1550-1649",10,6
"1550-1649",11,7
"1550-1649",12,8
"1550-1649",13,9
"1550-1649",14,9
"1550-1649",15,10
"1550-1649",16,10
"1550-1649",17,11
"1550-1649",18,12
"1550-1649",19,13
"1550-1649",20,13
"1550-1649",21,14
"1550-1649",22,14
"1550-1649",23,14
"1550-1649",24,15
"1550-1649",25,15
"1550-1649",26,15
"1550-1649",27,15
"1550-1649",28,16
"1550-1649",29,16
"1550-1649",30,17
"1550-1649",31,18
"1550-1649",32,18
"1550-1649",33,19
"1550-1649",34,20
"1550-1649",35,21
"1550-1649",36,21
"1550-1649",37,21
"1550-1649",38,21
"1550-1649",39,21
"1550-1649",40,21
"1550-1649",41,22
"1550-1649",42,23
"1550-1649",43,23
"1550-1649",44,24
"1550-1649",45,24
"1550-1649",46,24
"1550-1649",47,24
"1550-1649",48,24
"1550-1649",49,24
"1550-1649",50,24
"1550-1649",51,24
"1550-1649",52,24
