"title","N","V"
"BuchDerNatur",1,1
"BuchDerNatur",2,2
"BuchDerNatur",3,2
"BuchDerNatur",4,2
"BuchDerNatur",5,3
"BuchDerNatur",6,4
"BuchDerNatur",7,4
"BuchDerNatur",8,4
"BuchDerNatur",9,4
"BuchDerNatur",10,4
"BuchDerNatur",11,5
"BuchDerNatur",12,5
"BuchDerNatur",13,5
"BuchDerNatur",14,5
"BuchDerNatur",15,5
"GartDerGesundheit",1,1
"GartDerGesundheit",2,2
"GartDerGesundheit",3,3
"GartDerGesundheit",4,4
"GartDerGesundheit",5,5
"GartDerGesundheit",6,5
"GartDerGesundheit",7,6
"GartDerGesundheit",8,7
"GartDerGesundheit",9,8
"GartDerGesundheit",10,9
"GartDerGesundheit",11,10
"GartDerGesundheit",12,11
"GartDerGesundheit",13,12
"GartDerGesundheit",14,13
"GartDerGesundheit",15,13
"GartDerGesundheit",16,13
"GartDerGesundheit",17,14
"GartDerGesundheit",18,14
"GartDerGesundheit",19,14
"GartDerGesundheit",20,14
"GartDerGesundheit",21,15
"GartDerGesundheit",22,16
"GartDerGesundheit",23,17
"GartDerGesundheit",24,17
"GartDerGesundheit",25,18
"GartDerGesundheit",26,18
"GartDerGesundheit",27,18
"GartDerGesundheit",28,19
"GartDerGesundheit",29,20
"GartDerGesundheit",30,20
"GartDerGesundheit",31,20
"GartDerGesundheit",32,20
"GartDerGesundheit",33,21
"GartDerGesundheit",34,21
"GartDerGesundheit",35,21
"GartDerGesundheit",36,21
"GartDerGesundheit",37,22
"GartDerGesundheit",38,22
"GartDerGesundheit",39,22
"GartDerGesundheit",40,22
"GartDerGesundheit",41,23
"GartDerGesundheit",42,24
"GartDerGesundheit",43,24
"GartDerGesundheit",44,25
"GartDerGesundheit",45,25
"GartDerGesundheit",46,26
"GartDerGesundheit",47,26
"GartDerGesundheit",48,26
"GartDerGesundheit",49,26
"GartDerGesundheit",50,26
"GartDerGesundheit",51,27
"GartDerGesundheit",52,27
"ArtzneyBuchleinDerKreutter",1,1
"ArtzneyBuchleinDerKreutter",2,2
"ArtzneyBuchleinDerKreutter",3,3
"ArtzneyBuchleinDerKreutter",4,4
"ArtzneyBuchleinDerKreutter",5,5
"ArtzneyBuchleinDerKreutter",6,6
"ArtzneyBuchleinDerKreutter",7,7
"ArtzneyBuchleinDerKreutter",8,8
"ArtzneyBuchleinDerKreutter",9,9
"ArtzneyBuchleinDerKreutter",10,9
"ArtzneyBuchleinDerKreutter",11,9
"ArtzneyBuchleinDerKreutter",12,10
"ArtzneyBuchleinDerKreutter",13,11
"ArtzneyBuchleinDerKreutter",14,12
"ArtzneyBuchleinDerKreutter",15,12
