"title","N","V"
"BuchDerNatur",1,1
"BuchDerNatur",2,2
"BuchDerNatur",3,2
"BuchDerNatur",4,3
"BuchDerNatur",5,4
"BuchDerNatur",6,5
"BuchDerNatur",7,6
"BuchDerNatur",8,6
"BuchDerNatur",9,7
"BuchDerNatur",10,8
"BuchDerNatur",11,9
"BuchDerNatur",12,10
"BuchDerNatur",13,11
"BuchDerNatur",14,11
"BuchDerNatur",15,12
"BuchDerNatur",16,13
"BuchDerNatur",17,13
"BuchDerNatur",18,13
"BuchDerNatur",19,14
"BuchDerNatur",20,15
"BuchDerNatur",21,16
"BuchDerNatur",22,17
"BuchDerNatur",23,18
"BuchDerNatur",24,19
"GartDerGesundheit",1,1
"GartDerGesundheit",2,2
"GartDerGesundheit",3,2
"GartDerGesundheit",4,2
"GartDerGesundheit",5,3
"GartDerGesundheit",6,4
"GartDerGesundheit",7,5
"GartDerGesundheit",8,5
"GartDerGesundheit",9,6
"GartDerGesundheit",10,6
"GartDerGesundheit",11,6
"GartDerGesundheit",12,6
"GartDerGesundheit",13,6
"GartDerGesundheit",14,6
"GartDerGesundheit",15,6
"GartDerGesundheit",16,6
"GartDerGesundheit",17,7
"GartDerGesundheit",18,7
"GartDerGesundheit",19,8
"GartDerGesundheit",20,8
"GartDerGesundheit",21,8
"GartDerGesundheit",22,9
"GartDerGesundheit",23,9
"GartDerGesundheit",24,9
"GartDerGesundheit",25,9
"GartDerGesundheit",26,10
"GartDerGesundheit",27,11
"GartDerGesundheit",28,11
"GartDerGesundheit",29,11
"GartDerGesundheit",30,11
"GartDerGesundheit",31,11
"GartDerGesundheit",32,11
"GartDerGesundheit",33,11
"GartDerGesundheit",34,11
"GartDerGesundheit",35,11
"GartDerGesundheit",36,12
"GartDerGesundheit",37,12
"GartDerGesundheit",38,12
"GartDerGesundheit",39,12
"GartDerGesundheit",40,12
"GartDerGesundheit",41,12
"GartDerGesundheit",42,12
"GartDerGesundheit",43,13
"GartDerGesundheit",44,13
"GartDerGesundheit",45,13
"GartDerGesundheit",46,13
"GartDerGesundheit",47,13
"GartDerGesundheit",48,13
"GartDerGesundheit",49,13
"GartDerGesundheit",50,14
"GartDerGesundheit",51,14
"GartDerGesundheit",52,15
"GartDerGesundheit",53,15
"GartDerGesundheit",54,15
"GartDerGesundheit",55,15
"GartDerGesundheit",56,15
"GartDerGesundheit",57,15
"GartDerGesundheit",58,15
"ArtzneyBuchleinDerKreutter",1,1
"ArtzneyBuchleinDerKreutter",2,2
"ArtzneyBuchleinDerKreutter",3,3
"ArtzneyBuchleinDerKreutter",4,3
"ArtzneyBuchleinDerKreutter",5,3
"ArtzneyBuchleinDerKreutter",6,4
