"lemma","frequency"
"Örtlichkeit",1
"Ähnlichkeit",27
"Achtsamkeit",2
"Albernheit",1
"Allmächtigkeit",1
"Anzündlichkeit",1
"Übelkeit",2
"Überflüssigkeit",4
"Üppigkeit",1
"Aufmerksamkeit",3
"Aufrichtigkeit",1
"Aussätzigkeit",2
"Barmherzigkeit",2
"Behutsamkeit",2
"Bequemlichkeit",1
"Beschaffenheit",19
"Bescheidenheit",2
"Bitterkeit",12
"Blödigkeit",5
"Bosheit",1
"Brauchbarkeit",1
"Christenheit",4
"Dienlichkeit",1
"Dunkelheit",4
"Durchsichtigkeit",1
"Ebenmäßigkeit",1
"Eigenheit",2
"Eigentümlichkeit",3
"Einfachheit",1
"Einheit",2
"Einstimmigkeit",1
"Eintönigkeit",1
"Empfindlichkeit",2
"Empfindligkeit",1
"Engbrüstigkeit",15
"Erfahrenheit",6
"Erhabenheit",1
"Ewigkeit",6
"Fährlichkeit",2
"Falschheit",1
"Festigkeit",1
"Fettigkeit",1
"Feuchtigkeit",101
"Flüssigkeit",8
"Freiheit",1
"Fruchtbarkeit",5
"Gütigkeit",1
"Geheuerlichkeit",2
"Gelegenheit",16
"Gelindigkeit",1
"Genauigkeit",1
"Gerechtigkeit",6
"Geschicklichkeit",2
"Gesundheit",15
"Gewissheit",7
"Gewohnheit",3
"Gleichgültigkeit",1
"Gleichheit",6
"Gleichzeitigkeit",1
"Großheit",1
"Grobheit",2
"Gutheit",3
"Härtigkeit",2
"Heftigkeit",1
"Heiligkeit",3
"Heimlichheit",1
"Heimlichkeit",6
"Herrlichkeit",4
"Hochwürdigkeit",1
"Keuschheit",11
"Klarheit",2
"Kleinigkeit",1
"Krankheit",124
"Müdigkeit",5
"Mannigfaltigkeit",6
"Mildigkeit",1
"Mutterkrankheit",1
"Nutzbarkeit",2
"Obrigkeit",1
"Ohnmächtigkeit",3
"Persönlichkeit",1
"Räudigkeit",8
"Rauigkeit",1
"Reinigkeit",9
"Reizbarkeit",4
"Reudigkeit",1
"Richtigkeit",3
"Süßigkeit",1
"Sauberkeit",6
"Schäbigkeit",1
"Schönheit",5
"Schläfrigkeit",1
"Schlaffheit",1
"Schwachheit",9
"Schwerhörigkeit",1
"Schwermütigkeit",1
"Schwierigkeit",3
"Sehrigkeit",1
"Seligkeit",1
"Sinnigkeit",1
"Sonderheit",11
"Steifigkeit",1
"Sterblichkeit",1
"Subtiligkeit",1
"Tätigkeit",8
"Taubheit",1
"Torheit",2
"Traurigkeit",2
"Trockenheit",2
"Trunkenheit",9
"Verdaulichkeit",1
"Vergessenheit",3
"Verschiedenheit",9
"Vollkommenheit",6
"Vollständigkeit",1
"Vorsichtigkeit",2
"Würdigkeit",1
"Wütigkeit",1
"Wahrheit",12
"Wahrscheinlichkeit",2
"Wichtigkeit",1
"Widerwärtigkeit",1
"Wirksamkeit",2
"Wissenheit",4
"Zierlichkeit",2
"Zweideutigkeit",1
