"title","m","Vm"
"BuchDerNatur",1,14
"BuchDerNatur",2,5
"GartDerGesundheit",1,7
"GartDerGesundheit",2,3
"GartDerGesundheit",3,2
"GartDerGesundheit",7,1
"GartDerGesundheit",14,1
"GartDerGesundheit",18,1
"ArtzneyBuchleinDerKreutter",1,4
"ArtzneyBuchleinDerKreutter",2,1
"ArtzneyBuchleinDerKreutter",3,1
"ArtzneyBuchleinDerKreutter",8,2
"ArtzneyBuchleinDerKreutter",10,1
"ContrafaytKreuterbuch",1,16
"ContrafaytKreuterbuch",2,2
"ContrafaytKreuterbuch",5,1
"ContrafaytKreuterbuch",13,1
"NewKreuetterBuch",1,3
"NewKreuetterBuch",2,4
"NewKreuetterBuch",3,1
"NewKreuetterbbuch",1,3
"NewKreuetterbbuch",2,3
"NewKreuetterbbuch",3,1
"NewKreuetterbbuch",5,1
"WieSichMeniglich",1,4
"WieSichMeniglich",2,1
"NewKreueterbuch",1,7
"NewKreueterbuch",2,2
"Paradeiszgaertlein",1,7
"Paradeiszgaertlein",2,1
"Paradeiszgaertlein",3,1
"Paradeiszgaertlein",4,1
"Paradeiszgaertlein",5,2
"AlchymistischePractic",1,3
"AlchymistischePractic",2,1
"HortulusSanitatis",1,6
"HortulusSanitatis",3,1
"HortulusSanitatis",4,1
"KraeuterbuchDesEdelen",1,1
"KraeuterbuchDesEdelen",2,1
"KraeuterbuchDesEdelen",3,1
"KraeuterbuchDesEdelen",6,1
"PflantzGart",1,10
"PflantzGart",2,3
"PflantzGart",3,1
"PflantzGart",4,1
"PflantzGart",6,1
"PflantzGart",13,1
"Wund-Artzney",1,7
"Wund-Artzney",2,2
"Wund-Artzney",3,1
"Wund-Artzney",4,1
"Wund-Artzney",10,1
"Phythologia",1,1
"ThesaurusSanitatis",1,4
"ThesaurusSanitatis",2,1
"ThesaurusSanitatis",18,1
"SonderbaresKraeuterbuch",1,3
"SonderbaresKraeuterbuch",2,1
"SonderbaresKraeuterbuch",3,1
"SonderbaresKraeuterbuch",5,1
"SonderbaresKraeuterbuch",6,1
"SonderbaresKraeuterbuch",10,1
"TheatrumBotanicum",1,2
"TheatrumBotanicum",2,1
"TheatrumBotanicum",3,1
"ViridariumReformatum",1,3
"ViridariumReformatum",2,2
"ViridariumReformatum",3,2
"FloraSaturnizans",1,7
"FloraSaturnizans",5,1
"FloraSaturnizans",6,1
"MysterivmSigillorvm",1,4
"MysterivmSigillorvm",2,2
"MysterivmSigillorvm",3,1
"MysterivmSigillorvm",4,1
"MysterivmSigillorvm",10,2
"BlackwellischesKraeuterbuch",1,4
"BlackwellischesKraeuterbuch",2,2
"EinleitungZuDerKraeuterkenntnisz",1,1
"EinleitungZuDerKraeuterkenntnisz",3,1
"EinleitungZuDerKraeuterkenntnisz",6,1
"Unterricht",1,2
"Unterricht",2,1
"GrundrissKraeuterkunde",1,3
"GrundrissKraeuterkunde",3,2
"GrundrissKraeuterkunde",4,1
"GrundrissKraeuterkunde",5,1
"GrundrissKraeuterkunde",6,1
"Apothekerlexikon",1,6
"Apothekerlexikon",2,2
"Apothekerlexikon",5,1
"GetreueDarstellungUndBeschreibung",2,1
"Flora-7",1,6
"Flora-6",1,2
"EigenschaftenAllerHeilpflanzen",1,3
"EigenschaftenAllerHeilpflanzen",2,2
"EigenschaftenAllerHeilpflanzen",5,1
"EigenschaftenAllerHeilpflanzen",10,1
"NochEinigeWorte",1,7
"NochEinigeWorte",2,2
"NochEinigeWorte",3,1
"NochEinigeWorte",4,1
"NochEinigeWorte",5,1
"VorlesungenUeberKraeuterkunde",1,7
"VorlesungenUeberKraeuterkunde",2,1
"VorlesungenUeberKraeuterkunde",3,1
"VorlesungenUeberKraeuterkunde",4,1
"VorlesungenUeberKraeuterkunde",6,1
"GrossesIllustriertesKraeuterbuch",1,3
"GrossesIllustriertesKraeuterbuch",2,1
"DeutschePflanzennamen",1,12
"DeutschePflanzennamen",2,3
"DeutschePflanzennamen",3,2
"FloraDerPreussischenRheinlande",1,4
"FloraDerPreussischenRheinlande",2,1
"GemeinnuetzigesKraeuterbuch",1,6
"GemeinnuetzigesKraeuterbuch",2,2
"GemeinnuetzigesKraeuterbuch",3,1
"NatuerlichePflanzenfamilien",1,1
"Kraeuterbuch",2,1
"Kraeuterbuch",7,1
